Country,LifeExpectancy , BMI ,GDP,Schooling
Afghanistan,65,19.1,584.25921,10.1
Albania,77.8,58,3954.22783,14.2
Algeria,75.6,59.5,4132.76292,14.4
Angola,52.4,23.3,3695.793748,11.4
Antigua and Barbuda,76.4,47.7,13566.9541,13.9
Argentina,76.3,62.8,13467.1236,17.3
Armenia,74.8,54.9,369.654776,12.7
Australia,82.8,66.6,56554.3876,20.4
Austria,81.5,57.6,43665.947,15.9
Azerbaijan,72.7,52.5,55.31382,12.7
Bahamas,76.1,64.5,,12.6
Bahrain,76.9,63.6,22688.87824,14.5
Bangladesh,71.8,18.3,121.15812,10.2
Barbados,75.5,54.5,15557.8381,15.3
Belarus,72.3,62.3,5949.11677,15.6
Belgium,81.1,63.7,4356.875,16.6
Belize,71,5.9,4849.997495,12.8
Benin,60,25.7,783.94791,10.7
Bhutan,69.8,24.5,2613.645177,12.5
Bolivia (Plurinational State of),77,52.6,,13.8
Bosnia and Herzegovina,77.4,55.8,4574.9787,14.2
Botswana,65.7,37.9,6532.651,12.6
Brazil,75,56.1,8757.2622,15.2
Brunei Darussalam,77.7,41.2,3967.8951,14.9
Bulgaria,74.5,65.7,6993.47736,15
Burkina Faso,59.9,19.4,615.592225,7.7
Burundi,59.6,18.7,33.681223,10.6
Cabo Verde,73.3,31.3,2954.119467,13.5
Cambodia,68.7,19.6,1163.18977,10.9
Cameroon,57.3,29,1244.429421,10.4
Canada,82.2,67,43315.744,16.3
Central African Republic,52.5,22.7,348.381417,7.1
Chad,53.1,19.1,777.248751,7.3
Chile,85,63.8,13653.2264,16.3
China,76.1,32.9,869.211938,13.5
Colombia,74.8,57.9,644.525556,13.6
Comoros,63.5,24.2,727.6463868,11.1
Congo,64.7,27.4,,11.1
Costa Rica,79.6,6.5,1146.36273,14.2
Croatia,78,63.7,11579.6674,15.3
Cuba,79.1,61.4,762.261218,13.9
Cyprus,85,6.3,2375.1127,14.3
Denmark,86,58.8,5314.64416,19.2
Djibouti,63.5,35,1862.167274,6.3
Dominican Republic,73.9,58.9,6468.471648,13.2
Ecuador,76.2,54.2,625.62224,14
Egypt,79,61.1,,13.1
El Salvador,73.5,56.1,4127.11775,13.2
Equatorial Guinea,58.2,24.5,1347.31257,9.2
Eritrea,64.7,18.6,,5
Estonia,77.6,59.9,1774.9291,16.5
Ethiopia,64.8,17.6,645.4637627,8.4
Fiji,69.9,62.7,4921.89629,15.3
Finland,81.1,62.1,4245.39744,17
France,82.4,62.5,36526.7711,16.3
Gabon,66,36.3,7388.984144,12.6
Gambia,61.1,27.3,,8.9
Georgia,74.4,56.2,3764.64912,13.9
Germany,81,62.3,41176.88158,17.1
Ghana,62.4,28.6,1361.11395,11.4
Greece,81,66.5,187.78991,17.2
Grenada,73.6,48.4,9212.192824,15.8
Guatemala,71.9,5.6,3923.573344,10.7
Guinea,59,23.3,554.48766,8.8
Guinea-Bissau,58.9,26.3,596.8717189,9.2
Guyana,66.2,46.7,4136.689919,10.3
Haiti,63.5,49.9,814.5463952,9.1
Honduras,74.6,51,2326.15856,11.2
Hungary,75.8,64.8,12365.6263,15.6
Iceland,82.7,61,5734.4436,19
India,68.3,18.7,1613.18878,11.6
Indonesia,69.1,27.4,3336.16686,12.9
Iran (Islamic Republic of),75.5,59.7,,14.8
Iraq,68.9,59.1,4974.2693,10.1
Ireland,81.4,62.8,6664.144,18.6
Israel,82.5,64.9,35729.37253,16
Italy,82.7,63.6,349.14755,16.3
Jamaica,76.2,54.2,4965.989857,12.8
Japan,83.7,29,34474.13736,15.3
Jordan,74.1,65.6,496.99275,13.1
Kazakhstan,72,53.1,159.9817,15
Kenya,63.4,22,1349.97144,11.1
Kiribati,66.3,77.6,1424.483611,11.9
Kuwait,74.7,71.4,28975.418,13.3
Kyrgyzstan,71.1,44.9,,13
Lao People's Democratic Republic,65.7,21.7,,10.8
Latvia,74.6,61.2,13666.58336,16
Lebanon,74.9,66.1,846.632851,13.3
Lesotho,53.7,32.6,173.82893,10.7
Liberia,61.4,27.3,452.38717,9.9
Libya,72.7,64.8,,13.4
Lithuania,73.6,62.4,14252.42853,16.5
Luxembourg,82,61.3,1199.8223,13.9
Madagascar,65.5,2.5,41.8575951,10.3
Malawi,58.3,19.6,362.6575444,10.8
Malaysia,75,4.6,9643.644683,13.1
Maldives,78.5,27.4,8395.785198,12.7
Mali,58.2,23.8,729.725338,8.4
Malta,81.7,69.6,23819.4636,14.6
Mauritania,63.1,3.8,1158.256469,8.5
Mauritius,74.6,33.3,9252.11724,15.2
Mexico,76.7,63.5,9143.128494,13.3
Micronesia (Federated States of),69.4,69.4,,11.7
Mongolia,68.8,52.7,3944.1839,14.8
Montenegro,76.1,61.8,6461.192554,15.1
Morocco,74.3,58.5,2847.285569,12.1
Mozambique,57.6,22.6,528.3125597,9.1
Myanmar,66.6,23.8,1194.59137,9.1
Namibia,65.8,35.7,4737.66996,11.7
Nepal,69.2,19.1,743.7653489,12.2
Netherlands,81.9,62.1,44292.88473,18.1
